"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"10227",13,1101,535,11,5345874,1,32,13,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"16528",13,1102,536,12,8801250,0,38,10,38000,0,0,0,1,0,1,0,0,0,1,NA,13121
"15090",13,1102,536,12,2382951,0,27,13,52000,0,0,0,1,0,1,0,0,0,1,NA,13121
"27183",13,1105,539,15,6597877,0,22,7,0,0,0,0,0,0,1,0,1,0,0,NA,13121
"18425",13,1102,536,12,7334299,0,33,13,125100,0,0,0,0,1,0,0,0,0,1,NA,13121
"22391",13,1104,538,14,1067287,1,49,9,13000,0,0,0,1,0,1,0,0,0,1,NA,13121
"13970",13,1102,536,12,2331996,1,52,13,32100,0,0,0,1,0,1,0,0,0,0,NA,13121
"33772",13,1107,541,17,4357066,1,69,14,41000,0,1,0,0,1,1,0,0,0,0,NA,13121
"24162",13,1104,538,14,1646674,0,20,11,2000,0,0,1,0,0,1,0,0,0,0,NA,13121
"28039",13,1105,539,15,2662750,1,43,14,60000,0,0,0,0,0,1,0,1,0,1,NA,13121
"18574",13,1103,537,13,9762922,0,51,15,316000,0,0,0,1,0,1,0,0,1,1,NA,13121
"33397",13,1107,541,17,1078335,0,80,16,54400,0,1,0,1,0,1,0,0,1,0,NA,13121
"25272",13,1104,538,14,9090864,1,24,9,12200,0,1,0,0,0,1,1,0,0,0,NA,13121
"30752",13,1106,540,16,2132269,1,69,9,14800,0,1,0,1,0,1,0,0,0,1,NA,13121
"15523",13,1102,536,12,9144092,0,52,14,150000,0,0,0,0,0,0,0,0,0,0,1,13121
"31220",13,1106,540,16,1013225,1,76,6,9600,0,1,0,0,1,1,0,1,0,0,NA,13121
"16053",13,1102,536,12,6777569,1,48,14,10000,0,0,0,1,0,1,1,0,0,0,NA,13121
"33570",13,1107,541,17,6251882,1,48,9,15000,0,0,0,1,0,1,0,0,0,1,NA,13121
"31410",13,1106,540,16,688750,0,41,9,25000,0,1,0,1,0,1,0,0,0,1,NA,13121
"18289",13,1102,536,12,4923173,0,38,13,60500,0,0,0,1,0,1,0,0,0,1,NA,13121
"18141",13,1102,536,12,1715049,0,20,12,35000,0,0,1,0,0,1,0,0,0,1,1,13121
"22904",13,1104,538,14,9529085,0,52,9,18000,0,1,0,0,0,1,0,0,0,0,NA,13121
"17860",13,1102,536,12,2865863,0,46,16,130000,0,0,1,1,0,1,0,0,0,1,1,13121
"23860",13,1104,538,14,5800868,0,44,6,6100,0,1,0,0,0,1,0,1,0,0,1,13121
"23057",13,1104,538,14,8346704,0,35,12,66000,0,0,0,0,0,1,0,0,0,1,NA,13121
"15339",13,1102,536,12,98542,1,42,14,105200,0,0,0,0,0,1,0,0,0,1,NA,13121
"26715",13,1105,539,15,8784100,0,61,6,24300,0,1,0,1,0,1,0,0,1,1,NA,13121
"31915",13,1106,540,16,3373574,0,35,11,20000,0,1,0,0,0,1,0,0,0,0,NA,13121
"26613",13,1105,539,15,5956989,1,50,11,0,0,1,0,1,0,1,1,0,0,0,NA,13121
"16711",13,1102,536,12,6303656,0,48,14,315000,0,0,0,0,0,1,0,0,0,1,NA,13121
"19576",13,1103,537,13,9926860,1,50,16,85000,0,0,0,1,0,1,0,0,0,1,NA,13121
