"","state","puma","X","jpumarow","serialno.household","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
"9598",13,1101,535,11,9641768,1,51,11,2200,0,0,0,1,0,1,0,0,0,0,NA,13121
"9599",13,1101,535,11,8526658,0,44,11,125030,0,0,0,1,0,1,0,0,0,1,NA,13121
"9600",13,1101,535,11,2709611,0,60,11,105000,0,0,0,1,0,1,0,1,1,1,NA,13121
"9601",13,1101,535,11,7039402,0,41,13,52000,0,0,0,0,0,1,0,0,0,1,NA,13121
"9602",13,1101,535,11,9845810,0,56,13,263000,0,0,0,1,0,1,0,0,1,1,NA,13121
"9603",13,1101,535,11,8763365,0,42,14,1e+05,0,0,0,1,0,1,0,0,0,1,NA,13121
"9604",13,1101,535,11,9776577,0,45,13,26000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9605",13,1101,535,11,9641768,0,53,11,65200,0,0,0,1,0,1,0,0,1,1,NA,13121
"9606",13,1101,535,11,9263636,0,40,13,98030,0,0,0,1,0,1,0,0,0,1,NA,13121
"9607",13,1101,535,11,7244168,1,28,14,26000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9608",13,1101,535,11,8925324,1,35,6,20000,0,0,0,1,0,0,0,0,0,0,0,13121
"9609",13,1101,535,11,8925324,0,40,11,65000,0,0,0,1,0,0,0,1,0,1,1,13121
"9610",13,1101,535,11,1493180,0,67,9,28000,0,0,0,1,0,1,0,0,1,1,NA,13121
"9611",13,1101,535,11,8642107,0,31,13,92000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9612",13,1101,535,11,1016853,0,22,9,24000,0,0,0,0,0,1,0,0,0,1,NA,13121
"9613",13,1101,535,11,7363317,1,74,11,12500,0,0,0,1,0,1,0,0,0,1,NA,13121
"9614",13,1101,535,11,1600202,0,48,11,50000,1,0,0,1,0,1,0,0,0,1,1,13121
"9615",13,1101,535,11,4020002,1,40,14,102000,0,0,1,1,0,0,1,0,0,1,1,13121
"9616",13,1101,535,11,9544306,0,40,12,40000,0,1,0,1,0,1,0,0,0,1,1,13121
"9617",13,1101,535,11,3675132,1,46,10,42120,0,0,0,1,0,1,0,0,0,1,NA,13121
"9618",13,1101,535,11,1007242,1,40,9,6500,0,0,0,1,0,0,0,0,0,1,NA,13121
"9619",13,1101,535,11,5609723,0,33,13,93200,0,0,1,1,0,1,0,0,0,1,1,13121
"9620",13,1101,535,11,7244337,0,60,13,320000,0,0,0,0,0,1,0,0,1,1,NA,13121
"9621",13,1101,535,11,5207585,0,50,14,23600,0,0,0,1,0,1,0,0,0,1,NA,13121
"9622",13,1101,535,11,3042334,1,34,9,25000,0,0,0,0,0,1,1,0,0,0,NA,13121
"9623",13,1101,535,11,9377916,0,35,15,93200,0,0,0,1,0,1,0,0,0,1,NA,13121
"9624",13,1101,535,11,6722412,0,76,4,6790,0,0,0,1,0,1,0,0,1,0,NA,13121
"9625",13,1101,535,11,2709611,1,54,13,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"9626",13,1101,535,11,9481347,1,44,10,60000,0,1,0,0,0,1,1,1,0,1,NA,13121
"9627",13,1101,535,11,2241994,0,59,16,349700,0,0,0,1,0,1,0,0,1,1,NA,13121
"9628",13,1101,535,11,2241994,1,51,10,3300,0,0,0,1,0,1,1,0,0,0,NA,13121
"9629",13,1101,535,11,1600202,1,22,11,5000,1,0,0,0,0,0,0,0,0,1,1,13121
"9630",13,1101,535,11,3770120,0,37,13,106500,0,0,0,1,0,1,0,0,1,1,NA,13121
"9631",13,1101,535,11,7866004,1,74,13,27500,0,0,0,1,0,1,0,0,0,0,NA,13121
"9632",13,1101,535,11,7216544,1,38,8,0,1,0,0,1,0,0,0,1,0,0,0,13121
"9633",13,1101,535,11,9500613,0,40,13,100480,0,0,0,0,0,1,0,0,0,1,NA,13121
"9634",13,1101,535,11,3541508,1,28,13,11000,0,0,0,1,0,1,1,0,0,0,NA,13121
"9635",13,1101,535,11,5719058,1,45,14,110,0,0,0,1,0,1,1,0,0,1,NA,13121
"9636",13,1101,535,11,7204840,0,38,11,8500,0,0,0,1,0,0,0,1,0,1,1,13121
"9637",13,1101,535,11,1016853,0,22,9,28000,0,0,0,0,0,1,0,0,0,1,1,13121
"9638",13,1101,535,11,9303922,0,60,12,55000,0,0,0,0,0,1,0,0,0,0,NA,13121
"9639",13,1101,535,11,5579945,0,42,15,150000,0,0,0,1,0,0,0,0,0,1,1,13121
"9640",13,1101,535,11,1493180,0,28,13,24020,0,0,0,0,0,1,0,0,0,1,NA,13121
"9641",13,1101,535,11,4020002,0,38,14,67000,0,0,1,1,0,0,0,0,0,1,1,13121
"9642",13,1101,535,11,9194810,0,38,13,68000,0,0,0,0,0,0,0,0,0,1,1,13121
"9643",13,1101,535,11,4397123,1,61,9,0,0,0,0,1,0,1,0,0,0,0,NA,13121
"9644",13,1101,535,11,3154716,1,64,11,30000,0,0,0,0,1,1,0,0,0,1,NA,13121
"9645",13,1101,535,11,7388073,0,39,13,70000,0,1,0,1,0,1,0,0,0,1,NA,13121
"9646",13,1101,535,11,7071021,0,49,14,169000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9647",13,1101,535,11,9776577,1,44,11,120000,0,0,0,1,0,1,1,0,0,0,NA,13121
"9648",13,1101,535,11,8526658,1,42,12,0,0,0,0,1,0,1,1,0,0,0,NA,13121
"9649",13,1101,535,11,1316706,0,49,11,49000,0,0,0,1,0,1,0,0,1,1,NA,13121
"9650",13,1101,535,11,1600202,1,43,13,40000,1,0,0,1,0,1,1,1,0,1,1,13121
"9651",13,1101,535,11,7363317,0,67,15,58000,0,0,0,1,0,1,0,0,1,1,NA,13121
"9652",13,1101,535,11,5800204,0,32,14,50000,0,0,1,1,0,0,0,0,0,1,1,13121
"9653",13,1101,535,11,8982019,0,40,10,110000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9654",13,1101,535,11,8077081,1,72,8,700,0,0,0,1,0,1,0,1,0,0,1,13121
"9655",13,1101,535,11,7204840,1,40,9,13000,0,1,0,1,0,1,0,0,0,1,NA,13121
"9656",13,1101,535,11,6110102,1,32,14,0,0,0,1,1,0,0,1,0,0,0,NA,13121
"9657",13,1101,535,11,5708211,0,44,11,81500,0,0,0,1,0,1,0,0,0,1,NA,13121
"9658",13,1101,535,11,583839,1,52,14,107000,0,1,0,0,0,1,0,0,0,1,NA,13121
"9659",13,1101,535,11,8190304,1,43,14,44000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9660",13,1101,535,11,9654975,0,63,1,10000,0,0,1,1,0,0,0,1,0,1,1,13121
"9661",13,1101,535,11,7608283,0,43,13,139000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9662",13,1101,535,11,5995881,0,44,14,124100,0,0,0,1,0,1,0,0,0,1,NA,13121
"9663",13,1101,535,11,3675132,0,52,11,5440,0,0,0,1,0,1,0,0,1,1,NA,13121
"9664",13,1101,535,11,9073224,1,48,9,3500,0,0,0,1,0,1,1,0,0,0,NA,13121
"9665",13,1101,535,11,506346,0,26,13,7500,0,0,0,0,0,1,0,1,0,1,NA,13121
"9666",13,1101,535,11,1384450,0,28,13,37960,0,0,0,1,0,1,0,0,0,1,NA,13121
"9667",13,1101,535,11,6216361,1,55,14,93000,0,1,0,0,0,1,0,0,0,1,NA,13121
"9668",13,1101,535,11,4250288,0,45,14,105000,0,0,0,1,0,1,0,0,0,1,NA,13121
"9669",13,1101,535,11,7904464,1,30,11,40000,0,1,0,1,0,1,1,0,0,1,NA,13121
"9670",13,1101,535,11,4466845,0,41,13,115070,0,0,1,1,0,0,0,0,0,1,1,13121
"9671",13,1101,535,11,4214047,1,58,14,5600,0,0,0,1,0,1,0,0,0,1,0,13121
"9672",13,1101,535,11,7467835,1,57,9,41900,0,0,0,0,1,0,0,0,0,1,NA,13121
