"state","puma","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
13,1105,0,38,9,15800,0,1,0,0,0,1,0,0,0,1,NA,13121
13,1106,1,53,14,42000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1105,0,23,13,48000,0,1,0,0,0,1,0,0,0,1,NA,13121
13,1104,0,27,15,78000,0,0,0,0,0,1,0,0,0,1,NA,13121
13,1107,0,26,3,16000,1,0,0,1,0,0,0,0,0,1,0,13121
13,1105,1,39,7,7200,0,1,0,0,0,1,0,1,0,0,NA,13121
13,1103,0,81,11,49800,0,0,0,1,0,1,0,1,0,0,NA,13121
13,1101,0,37,13,103000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1102,1,58,10,304000,0,0,0,0,1,1,0,0,0,1,NA,13121
13,1103,0,41,13,335000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1104,1,37,7,10,0,1,0,0,0,1,1,0,0,0,NA,13121
13,1101,0,75,13,74100,0,0,0,1,0,1,0,0,1,0,NA,13121
13,1101,0,55,13,60000,0,0,0,0,1,1,0,0,0,1,NA,13121
13,1101,0,46,14,119000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1102,0,33,13,97050,0,0,0,0,0,1,0,0,0,1,NA,13121
13,1107,0,22,3,12000,1,0,0,0,0,0,0,0,0,1,0,13121
13,1102,1,34,11,33000,0,0,0,1,0,1,1,0,0,1,NA,13121
13,1103,1,30,13,77000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1102,0,26,9,15000,1,0,0,0,0,0,0,0,0,1,0,13121
13,1102,1,42,9,22900,0,0,1,1,0,1,1,0,0,1,0,13121
13,1105,0,69,7,20800,0,1,0,1,0,1,0,1,0,1,NA,13121
13,1101,0,38,14,81000,1,0,0,1,0,1,0,0,0,1,NA,13121
13,1102,1,32,14,0,0,0,0,1,0,1,1,0,0,1,NA,13121
13,1105,1,40,5,4660,0,1,0,0,0,1,1,1,0,0,NA,13121
13,1104,1,35,13,40000,0,0,0,0,0,1,0,1,0,1,NA,13121
13,1101,0,35,13,160000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1107,1,48,14,45000,0,1,0,0,0,1,0,0,0,1,NA,13121
13,1106,0,36,9,19500,0,1,0,0,0,1,0,0,0,1,NA,13121
13,1102,0,63,15,12600,0,0,0,1,0,1,0,0,1,1,NA,13121
13,1104,0,28,14,1680,0,0,0,0,0,1,0,1,0,0,NA,13121
13,1106,1,39,1,40290,0,1,0,0,0,1,1,0,0,1,NA,13121
13,1104,0,41,13,101000,0,0,0,1,0,1,0,0,0,1,NA,13121
13,1101,0,84,9,13900,0,0,0,1,0,1,0,1,0,0,NA,13121
13,1104,1,39,13,20000,0,0,0,1,0,1,1,0,0,1,NA,13121
13,1102,1,89,12,8000,0,0,0,0,0,1,0,1,0,0,NA,13121
13,1107,1,30,11,4800,0,0,0,0,0,1,0,0,0,1,NA,13121
13,1102,0,50,13,72000,0,0,0,1,0,1,0,0,0,1,NA,13121
